,km,year,test_cost,price,num_of_hand,Engine_Size,electric,disel,gasoline,automatic,manual,private,leasing,rent,else,Manufacturer
5616,57000,2019,1102,77000,1,1496.0,0,0,1,1,0,0,1,0,0,12
5617,4000,2022,2417,189900,1,2498.0,0,0,1,1,0,1,0,0,0,23
5618,60000,2021,2417,189000,2,1984.0,0,0,1,1,0,1,0,0,0,27
5619,245000,2016,1962,113900,2,2499.0,0,1,0,1,0,0,0,0,1,4
5620,105000,2019,1102,63000,2,1332.0,0,0,1,0,1,0,1,0,0,8
5621,25000,2020,1811,104900,1,998.0,0,0,1,1,0,1,0,0,0,35
5622,14527,2022,4731,450000,1,1998.0,1,0,1,1,0,1,0,0,0,6
5623,41400,2020,2417,138000,1,1999.0,0,0,1,1,0,1,0,0,0,13
5624,14527,2022,3366,335000,1,2755.0,0,1,0,1,0,1,0,0,0,12
5625,110000,2017,2019,106000,3,1999.0,0,0,1,1,0,1,0,0,0,13
5626,12000,2020,1529,75000,1,1332.0,0,0,1,1,0,1,0,0,0,36
5627,120000,2019,1835,125000,1,1498.0,0,0,1,1,0,1,0,0,0,27
5628,89000,2014,2397,89000,2,1984.0,0,0,1,1,0,1,0,0,0,1
5629,159000,2019,2019,119900,1,2498.0,0,0,1,1,0,1,0,0,0,23
5630,170000,2017,2563,145000,1,2499.0,0,1,0,1,0,0,1,0,0,4
5631,35000,2021,3366,219000,2,1998.0,0,0,1,1,0,1,0,0,0,6
5632,120000,2020,1811,109900,1,1798.0,0,0,1,1,0,1,0,0,0,12
5633,160000,2016,1962,107999,2,3342.0,0,0,1,1,0,1,0,0,0,35
5641,125000,2013,1205,39900,2,1396.0,0,0,1,1,0,1,0,0,0,13
5642,3500,2022,2417,179999,1,1498.0,0,0,1,1,0,1,0,0,0,10
5643,98000,2018,2019,120000,3,1591.0,0,0,1,1,0,1,0,0,0,13
5644,14527,2022,4731,395760,1,3604.0,0,0,1,1,0,1,0,0,0,7
5645,129000,2017,1102,29900,2,1199.0,0,0,1,1,0,0,0,1,0,31
5646,155000,2015,1693,81000,2,1798.0,0,0,1,1,0,1,0,0,0,25
5647,96380,2021,2417,154000,2,1998.0,0,0,1,1,0,0,1,0,0,19
5648,121000,2018,1604,88000,1,1580.0,0,0,1,1,0,0,1,0,0,13
5649,45000,2019,1835,99900,1,1332.0,0,0,1,1,0,0,1,0,0,21
5650,128000,2019,1604,73999,1,1461.0,0,1,0,1,0,1,0,0,0,36
5651,131390,2018,1835,99000,1,1490.0,0,0,1,1,0,1,0,0,0,37
5652,154000,2018,1353,49900,1,1598.0,0,0,1,1,0,1,0,0,0,30
5653,192000,2015,1962,69999,3,1395.0,0,0,1,1,0,1,0,0,0,1
5654,90000,2018,2563,185000,1,1968.0,0,1,0,1,0,1,0,0,0,27
5655,92000,2008,880,18500,1,1390.0,0,0,1,0,1,1,0,0,0,28
5656,104000,2017,3357,188995,2,1798.0,0,0,1,1,0,1,0,0,0,1
